species,bl,cut,rs,rd,ro,le,in,ex,pr,cu,tr,bo,se,Ho,ptI,ptII,tu,en,dis,dsa,len,ngr,ngd,ngsu,hu,ngsn,ngss,ngpa,im,gla,acm,cd,pps,ch,lga,efo,eca,es,gos,gsn,gsp,ag,gad,iadp,iado,an,aos,ad,lcu,cl,clt,fca,rot,rof,roti,d,tap,tIw,tIpl,it,tIIw,pli,rob,rol,gso,pab
Alismobates galapagoensis,1,1,0,2,2,1,2,2,3,0,0,1,4,1,1,0,1,0,1,1,2,0,0,1,0,1,0,1,1,2,0,0,0,0,1,0,0,0,2,1,1,1,0,2,0,2,1,3,1,1,0,0,1,1,0,0,0,1,1,1,0,3,2,1,1,0
Alismobates inexpectatus,1,1,0,2,2,1,2,2,3,0,0,1,4,1,1,1,0,0,1,1,2,0,0,1,0,1,0,1,1,2,0,0,0,0,1,0,0,0,2,1,1,1,0,2,0,2,1,3,1,1,0,0,1,1,0,0,0,1,1,1,0,3,2,1,1,0
Alismobates keniaensis,1,1,0,2,2,1,3,2,3,0,0,1,4,1,1,0,0,0,2,1,2,0,0,1,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,1,1,1,0,2,0,2,1,3,1,1,0,0,1,1,0,0,0,1,1,1,0,3,2,1,?,0
Alismobates pseudoreticulatus,1,1,1,2,3,1,1,2,3,0,0,1,4,1,1,0,0,0,2,1,2,0,0,4,0,1,0,0,2,2,0,0,0,0,1,0,0,6,1,1,1,1,0,2,0,2,0,3,1,1,0,0,1,1,0,0,0,1,1,1,0,3,?,1,?,0
Alismobates reticulatus,1,1,0,2,3,1,1,2,3,0,0,1,4,1,1,0,1,0,0,1,2,0,0,4,0,1,0,0,2,2,0,0,0,0,1,0,0,0,0,1,1,1,1,2,0,2,0,3,1,1,0,0,1,1,0,0,0,1,1,1,0,3,2,1,1,0
Alismobates rotundus,1,1,1,1,3,1,2,?,3,0,0,1,6,1,1,0,1,0,0,1,2,0,0,0,0,1,0,1,2,2,?,?,?,?,?,?,0,0,2,1,1,1,0,2,0,2,0,3,?,1,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Circellobates venustus,1,1,0,2,1,1,2,0,0,0,0,1,7,1,2,1,1,0,2,1,0,0,0,1,0,1,0,0,2,2,?,?,?,?,1,3,0,0,0,1,1,1,2,2,0,2,0,3,0,1,0,0,1,1,0,0,0,1,1,1,0,3,?,?,?,?
Fortuynia arabica,1,1,0,0,3,2,1,1,0,0,0,1,6,1,1,1,0,0,2,1,2,0,0,0,0,1,0,0,2,2,0,0,0,?,1,0,0,3,2,2,1,1,0,2,0,2,1,3,?,1,0,0,?,1,0,0,0,1,1,1,0,3,?,1,?,0
Fortuynia atlantica,1,1,1,0,3,2,2,2,0,0,0,1,5,1,1,0,0,0,0,1,2,0,0,0,0,1,0,1,2,3,0,0,1,0,1,0,0,2,1,2,1,1,0,2,0,2,1,3,1,1,0,0,1,1,0,0,0,1,1,1,0,3,2,1,2,0
Fortuynia churaumi,1,1,1,1,3,2,1,2,0,0,0,1,5,1,1,0,0,0,1,1,2,0,0,5,0,1,0,1,2,2,0,0,1,0,1,0,0,2,2,2,1,1,0,2,0,2,1,3,1,1,0,0,1,1,0,0,0,1,1,1,0,3,2,1,?,0
